"","gm","make_model","make","mileage_raw","price_raw","model_trim_raw","year_make_raw","platform","mileage","price","model","trim","year"
"1",FALSE,"Mercedes-Benz C63 AMG","Mercedes-Benz","13,000 miles",63998,"C63 AMG","2021 Mercedes-Benz","carmax",13000,63998,"C63 AMG","","2021"
"2",FALSE,"Mercedes-Benz C63 AMG","Mercedes-Benz","29,000 miles",47998,"C63 AMG","2019 Mercedes-Benz","carmax",29000,47998,"C63 AMG","","2019"
"3",FALSE,"Mercedes-Benz C63 AMG","Mercedes-Benz","70,000 miles",33998,"C63 AMG","2016 Mercedes-Benz","carmax",70000,33998,"C63 AMG","","2016"
"4",FALSE,"Mercedes-Benz C63 AMG","Mercedes-Benz","18,000 miles",59998,"C63 AMG S","2018 Mercedes-Benz","carmax",18000,59998,"C63 AMG","S","2018"
"5",FALSE,"Mercedes-Benz C63 AMG","Mercedes-Benz","35,000 miles",45998,"C63 AMG S","2018 Mercedes-Benz","carmax",35000,45998,"C63 AMG","S","2018"
"6",FALSE,"Mercedes-Benz C63 AMG","Mercedes-Benz","14,000 miles",55998,"C63 AMG S","2019 Mercedes-Benz","carmax",14000,55998,"C63 AMG","S","2019"
"7",FALSE,"Mercedes-Benz C63 AMG","Mercedes-Benz","51,000 miles",54998,"C63 AMG S","2021 Mercedes-Benz","carmax",51000,54998,"C63 AMG","S","2021"
"8",FALSE,"Mercedes-Benz C63 AMG","Mercedes-Benz","27,000 miles",50998,"C63 AMG S","2018 Mercedes-Benz","carmax",27000,50998,"C63 AMG","S","2018"
"9",FALSE,"Mercedes-Benz C63 AMG","Mercedes-Benz","39,000 miles",57998,"C63 AMG S","2021 Mercedes-Benz","carmax",39000,57998,"C63 AMG","S","2021"
"10",FALSE,"Mercedes-Benz C63 AMG","Mercedes-Benz","56,000 miles",42998,"C63 AMG S","2020 Mercedes-Benz","carmax",56000,42998,"C63 AMG","S","2020"
"11",FALSE,"Mercedes-Benz C63 AMG","Mercedes-Benz","59,000 miles",40998,"C63 AMG S","2017 Mercedes-Benz","carmax",59000,40998,"C63 AMG","S","2017"
"12",FALSE,"Mercedes-Benz C63 AMG","Mercedes-Benz","26,000 miles",58998,"C63 AMG S","2020 Mercedes-Benz","carmax",26000,58998,"C63 AMG","S","2020"
"13",FALSE,"Mercedes-Benz C63 AMG","Mercedes-Benz","12,000 miles",56998,"C63 AMG S","2018 Mercedes-Benz","carmax",12000,56998,"C63 AMG","S","2018"
"14",FALSE,"Dodge Challenger","Dodge","77,000 miles",15998,"Challenger SXT","2013 Dodge","carmax",77000,15998,"Challenger","SXT","2013"
