year,make,model,trim,horsepower,torque,displacement,cylinders,top_speed,accel,qmile_time,qmile_speed,weight,fuel_type,fuel_economy,quality_rating,reliability_rating
2021,Mercedes-Benz,C63 AMG,,469,479,4.0,8,155,3.8,12.2,118,1760,petrol,19,86,52
2019,Mercedes-Benz,C63 AMG,,469,479,4.0,8,174,3.8,12.1,118,1735,petrol,19,85,48
2016,Mercedes-Benz,C63 AMG,,469,479,4.0,8,155,3.9,12.2,118,1735,petrol,20,85,52
2018,Mercedes-Benz,C63 AMG,S,497,516,4.0,8,174,3.8,12.0,118,1715,petrol,19,76,46
2019,Mercedes-Benz,C63 AMG,S,503,516,4.0,8,180,3.8,12.0,118,1735,petrol,19,76,46
2021,Mercedes-Benz,C63 AMG,S,503,516,4.0,8,155,3.8,11.9,119,1760,petrol,19,86,52
2020,Mercedes-Benz,C63 AMG,S,503,516,4.0,8,180,3.8,12.1,118,1760,petrol,19,78,55
2017,Mercedes-Benz,C63 AMG,S,503,516,4.0,8,180,3.9,12.1,118,1724,petrol,19,85,52
2013,Dodge,Challenger,SXT,309,268,3.6,6,130,5.8,14.3,100,1633,petrol,22,58,62
2013,Dodge,Challenger,SXT Plus,305,268,3.6,6,155,5.9,14.4,98,1678,petrol,23,56,63
2024,Dodge,Durango,GT,291,260,3.6,6,118,6.6,15.1,95,1996,petrol,22,56,48
2025,Dodge,Durango,GT,365,390,5.7,8,130,6.0,14.5,98,2177,petrol,17,56,46
2024,Dodge,Durango,GT Plus,295,260,3.6,6,112,6.8,15.3,95,2041,petrol,20,58,62
2025,Dodge,Durango,GT Plus,299,260,3.6,6,115,6.8,15.3,94,2041,petrol,19,57,47
2025,Dodge,Durango,R/T 20th Anniversary Premium,365,395,5.7,8,130,5.6,14.0,100,2087,petrol,18,62,58
2024,Dodge,Durango,R/T Plus,365,390,5.7,8,118,5.6,14.0,100,2086,petrol,16,58,62
2025,Dodge,Durango,R/T Plus,365,390,5.7,8,115,5.6,14.2,100,2041,petrol,18,58,49
2024,Dodge,Durango,SRT 392,469,470,6.4,8,155,4.1,12.6,113,2180,petrol,16,48,47
2013,Ford,Mustang,,414,390,5.0,8,155,4.3,12.7,112,1633,petrol,18,55,65
2013,Ford,Mustang,GT,412,390,5.0,8,155,4.3,12.7,112,1633,petrol,22,58,72
2013,Ford,Mustang,GT Premium,418,390,5.0,8,155,4.3,12.7,112,1633,petrol,18,58,65
2013,Ford,Mustang,Premium,418,390,5.0,8,155,4.3,12.8,112,1650,petrol,19,55,60
2014,Dodge,Challenger,100th Anniversary,375,410,5.7,8,155,4.9,13.3,108,1810,petrol,18,55,60
2014,Dodge,Challenger,R/T,375,410,5.7,8,155,4.5,13.0,108,1719,petrol,18,55,52
2014,Dodge,Challenger,R/T Shaker,375,395,5.7,8,165,4.5,13.0,108,1714,petrol,18,45,55
2014,Dodge,Challenger,SXT,305,268,3.6,6,130,5.8,14.3,99,1656,petrol,23,48,57
2014,Dodge,Charger,R/T,375,395,5.7,8,155,4.8,13.3,108,1814,petrol,18,58,52
2014,Dodge,Charger,SE,295,260,3.6,6,130,6.3,14.8,96,1724,petrol,22,58,52
2014,Dodge,Charger,SXT,292,260,3.6,6,130,6.0,14.5,98,1700,petrol,22,55,60
2014,Dodge,Durango,R/T,360,390,5.7,8,115,5.9,14.4,98,2132,petrol,16,48,55
2014,Ford,Mustang,,420,390,5.0,8,155,4.3,12.7,112,1630,petrol,20,58,68
2014,Ford,Mustang,GT,420,390,5.0,8,155,4.3,12.7,112,1671,petrol,18,55,65
2014,Ford,Mustang,GT Premium,435,390,5.0,8,155,4.4,12.8,112,1656,petrol,19,48,67
2014,Ford,Mustang,Premium,420,390,5.0,8,155,4.4,12.8,113,1633,petrol,19,58,67
2014,Ford,Mustang,Shelby GT500,662,631,5.8,8,170,3.5,11.6,123,1724,petrol,14,48,56
2015,Dodge,Challenger,392 Hemi Scat Pack Shaker,492,475,6.4,8,165,4.2,12.5,114,1814,petrol,18,47,52
2015,Dodge,Challenger,R/T,380,410,5.7,8,155,4.5,13.0,108,1750,petrol,18,48,52
2015,Dodge,Challenger,R/T Plus,370,395,5.7,8,155,4.5,12.9,110,1814,petrol,19,56,47
2015,Dodge,Challenger,R/T Plus Shaker,375,395,5.7,8,155,4.5,13.0,108,1814,petrol,18,55,62
2015,Dodge,Challenger,R/T Scat Pack,492,475,6.4,8,165,4.4,12.7,112,1746,petrol,18,58,67
