model_name,model_parameters,input_tokens,output_tokens,time_to_first_token_secs,tokens_per_second
Qwen3.6 35B A3B,35B-A3B,491,2308,0,26
Qwen3.6 35B A3B,35B-A3B,491,4221,0,25
Qwen3.6 35B A3B,35B-A3B,491,2924,0,25
Qwen3.6 35B A3B,35B-A3B,492,3880,0,25
Qwen3.6 35B A3B,35B-A3B,492,3476,0,26
Qwen3.6 35B A3B,35B-A3B,492,3313,0,26
Qwen3.6 35B A3B,35B-A3B,492,3272,0,26
Qwen3.6 35B A3B,35B-A3B,492,3444,0,26
Qwen3.6 35B A3B,35B-A3B,489,4104,0,25
Qwen3.6 35B A3B,35B-A3B,490,4373,0,25
Qwen3.6 35B A3B,35B-A3B,489,4057,0,26
Qwen3.6 35B A3B,35B-A3B,489,3170,0,26
Qwen3.6 35B A3B,35B-A3B,490,2946,0,26
Qwen3.6 35B A3B,35B-A3B,490,3395,0,26
Qwen3.6 35B A3B,35B-A3B,496,3140,0,26
Qwen3.6 35B A3B,35B-A3B,491,4764,0,25
Qwen3.6 35B A3B,35B-A3B,491,3985,0,26
Qwen3.6 35B A3B,35B-A3B,494,4079,0,27
Qwen3.6 35B A3B,35B-A3B,487,3786,0,27
Qwen3.6 35B A3B,35B-A3B,488,3288,0,28
Qwen3.6 35B A3B,35B-A3B,489,3012,0,28
Qwen3.6 35B A3B,35B-A3B,488,3925,0,27
Qwen3.6 35B A3B,35B-A3B,493,3730,0,27
Qwen3.6 35B A3B,35B-A3B,489,4386,0,27
Qwen3.6 35B A3B,35B-A3B,491,3085,0,28
Qwen3.6 35B A3B,35B-A3B,489,3319,0,28
Qwen3.6 35B A3B,35B-A3B,489,3458,0,27
Qwen3.6 35B A3B,35B-A3B,488,3389,0,28
Qwen3.6 35B A3B,35B-A3B,489,3173,0,28
Qwen3.6 35B A3B,35B-A3B,490,5120,0,26
Qwen3.6 35B A3B,35B-A3B,487,3021,0,28
Qwen3.6 35B A3B,35B-A3B,488,3246,0,28
Qwen3.6 35B A3B,35B-A3B,489,4025,0,27
Qwen3.6 35B A3B,35B-A3B,488,3656,0,27
Qwen3.6 35B A3B,35B-A3B,492,3515,0,27
Qwen3.6 35B A3B,35B-A3B,498,4150,0,26
Qwen3.6 35B A3B,35B-A3B,489,4636,0,27
Qwen3.6 35B A3B,35B-A3B,490,3399,0,28
Qwen3.6 35B A3B,35B-A3B,492,3977,0,27
Qwen3.6 35B A3B,35B-A3B,492,4476,0,27
