Unnamed: 0,gm,make_model,make,mileage_raw,price_raw,model_trim_raw,year_make_raw,platform,mileage,price,model,trim,year,car_key,car_id
1,False,Mercedes-Benz C63 AMG,Mercedes-Benz,"13,000 miles",63998,C63 AMG,2021 Mercedes-Benz,carmax,13000,63998,C63 AMG,-,2021,2021-mercedes-benz-c63 amg--,169962526399295524114786929276035529503
2,False,Mercedes-Benz C63 AMG,Mercedes-Benz,"29,000 miles",47998,C63 AMG,2019 Mercedes-Benz,carmax,29000,47998,C63 AMG,-,2019,2019-mercedes-benz-c63 amg--,333502209770601666188971592563865766441
3,False,Mercedes-Benz C63 AMG,Mercedes-Benz,"70,000 miles",33998,C63 AMG,2016 Mercedes-Benz,carmax,70000,33998,C63 AMG,-,2016,2016-mercedes-benz-c63 amg--,2793621948840149966892463119152932027
4,False,Mercedes-Benz C63 AMG,Mercedes-Benz,"18,000 miles",59998,C63 AMG S,2018 Mercedes-Benz,carmax,18000,59998,C63 AMG,S,2018,2018-mercedes-benz-c63 amg-s,94219878956263099775820655582464551438
5,False,Mercedes-Benz C63 AMG,Mercedes-Benz,"35,000 miles",45998,C63 AMG S,2018 Mercedes-Benz,carmax,35000,45998,C63 AMG,S,2018,2018-mercedes-benz-c63 amg-s,94219878956263099775820655582464551438
6,False,Mercedes-Benz C63 AMG,Mercedes-Benz,"14,000 miles",55998,C63 AMG S,2019 Mercedes-Benz,carmax,14000,55998,C63 AMG,S,2019,2019-mercedes-benz-c63 amg-s,155560967847961186592180063588023320797
7,False,Mercedes-Benz C63 AMG,Mercedes-Benz,"51,000 miles",54998,C63 AMG S,2021 Mercedes-Benz,carmax,51000,54998,C63 AMG,S,2021,2021-mercedes-benz-c63 amg-s,30009612326940320544442775576528772094
8,False,Mercedes-Benz C63 AMG,Mercedes-Benz,"27,000 miles",50998,C63 AMG S,2018 Mercedes-Benz,carmax,27000,50998,C63 AMG,S,2018,2018-mercedes-benz-c63 amg-s,94219878956263099775820655582464551438
9,False,Mercedes-Benz C63 AMG,Mercedes-Benz,"39,000 miles",57998,C63 AMG S,2021 Mercedes-Benz,carmax,39000,57998,C63 AMG,S,2021,2021-mercedes-benz-c63 amg-s,30009612326940320544442775576528772094
10,False,Mercedes-Benz C63 AMG,Mercedes-Benz,"56,000 miles",42998,C63 AMG S,2020 Mercedes-Benz,carmax,56000,42998,C63 AMG,S,2020,2020-mercedes-benz-c63 amg-s,51488775112903712884063559652535912914
11,False,Mercedes-Benz C63 AMG,Mercedes-Benz,"59,000 miles",40998,C63 AMG S,2017 Mercedes-Benz,carmax,59000,40998,C63 AMG,S,2017,2017-mercedes-benz-c63 amg-s,241266240036630283759667839557420338634
12,False,Mercedes-Benz C63 AMG,Mercedes-Benz,"26,000 miles",58998,C63 AMG S,2020 Mercedes-Benz,carmax,26000,58998,C63 AMG,S,2020,2020-mercedes-benz-c63 amg-s,51488775112903712884063559652535912914
13,False,Mercedes-Benz C63 AMG,Mercedes-Benz,"12,000 miles",56998,C63 AMG S,2018 Mercedes-Benz,carmax,12000,56998,C63 AMG,S,2018,2018-mercedes-benz-c63 amg-s,94219878956263099775820655582464551438
14,False,Dodge Challenger,Dodge,"77,000 miles",15998,Challenger SXT,2013 Dodge,carmax,77000,15998,Challenger,SXT,2013,2013-dodge-challenger-sxt,250783180257965280736084137949845065838
15,False,Dodge Challenger,Dodge,"24,000 miles",19998,Challenger SXT Plus,2013 Dodge,carmax,24000,19998,Challenger,SXT Plus,2013,2013-dodge-challenger-sxt plus,28956807922673281206469693564945277676
16,False,Dodge Durango,Dodge,"20,000 miles",39998,Durango GT,2024 Dodge,carmax,20000,39998,Durango,GT,2024,2024-dodge-durango-gt,321556716592598379867277866858627370642
17,False,Dodge Durango,Dodge,"11,000 miles",34998,Durango GT,2025 Dodge,carmax,11000,34998,Durango,GT,2025,2025-dodge-durango-gt,65020351222036271895229060638285490529
18,False,Dodge Durango,Dodge,"8,000 miles",37998,Durango GT,2025 Dodge,carmax,8000,37998,Durango,GT,2025,2025-dodge-durango-gt,65020351222036271895229060638285490529
